name,id,catalog
"Austria","112470000001260","Countries"
"Belgium","112470000001261","Countries"
"Bulgaria","112470000001262","Countries"
"Cyprus","112470000001263","Countries"
"Czech Republic","112470000001264","Countries"
"Denmark","112470000001265","Countries"
"Estonia","112470000001266","Countries"
"Finland","112470000001267","Countries"
"France","112470000001268","Countries"
"Germany","112470000001269","Countries"
"Greece","112470000001270","Countries"
"Hungary","112470000001271","Countries"
"Ireland","112470000001272","Countries"
"Italy","112470000001273","Countries"
"Latvia","112470000001274","Countries"
"Lithuania","112470000001275","Countries"
"Luxembourg","112470000001276","Countries"
"Malta","112470000001277","Countries"
"Netherlands","112470000001278","Countries"
"Poland","112470000001279","Countries"
"Portugal","112470000001280","Countries"
"Romania","112470000001281","Countries"
"Slovakia","112470000001282","Countries"
"Slovenia","112470000001283","Countries"
"Spain","112470000001284","Countries"
"Sweden","112470000001285","Countries"
"United Kingdom","112470000001286","Countries"
"Air","112470000001288","Transport mode"
"Co-modality","112470000001289","Transport mode"
"Rail","112470000001290","Transport mode"
"Road","112470000001291","Transport mode"
"Water","112470000001292","Transport mode"
"SESAR","112470000001293","Transport mode"
"Galileo","112470000001294","Transport mode"
"ITS for Roads","112470000001295","Transport mode"
"Agency News","112470000001525","News"
"Project News","112470000001526","News"
"ERMTS","112470000004261","Transport mode"
"Multi-country projects","112470000004340","Countries"
"PP's","112470000206326","News"
"PPs","112470000206335","News"
"PP17","112470000206345","PP's"
"PP24","112470000249689","PP's"
"PP1","112470000249702","PP's"
"PP2","112470000249703","PP's"
"PP3","112470000249706","PP's"
"PP4","112470000249710","PP's"
"PP5","112470000249711","PP's"
"PP6","112470000249712","PP's"
"PP7","112470000249713","PP's"
"PP8","112470000249714","PP's"
"PP9","112470000249715","PP's"
"PP10","112470000249716","PP's"
"PP11","112470000249717","PP's"
"PP12","112470000249718","PP's"
"PP13","112470000249719","PP's"
"PP14","112470000249727","PP's"
"PP15","112470000249731","PP's"
"PP16","112470000249743","PP's"
"PP18","112470000249746","PP's"
"PP19","112470000249749","PP's"
"PP20","112470000249752","PP's"
"PP21","112470000249754","PP's"
"PP22","112470000249755","PP's"
"PP23","112470000249756","PP's"
"PP25","112470000249757","PP's"
"PP26","112470000249758","PP's"
"PP27","112470000249759","PP's"
"PP28","112470000249760","PP's"
"PP29","112470000249761","PP's"
"PP30","112470000249762","PP's"
"Annual","112470000041679","Type of project"
"Multi-Annual","112470000041681","Type of project"
"EERP","112470000041684","Type of project"
"RIS","112470000511264","Transport mode"
"PPP","112470003184556","Transport mode"
"Greening transport","112470003184557","Transport mode"
"Financial engineering section projects","112470003212614","Transport mode"
"Croatia","112470006419146","Countries"
"PCI 1","112470114563289","Energy 10 PCI"
"PCI 2","112470114563297","Energy 10 PCI"
"PCI 3","112470114563303","Energy 10 PCI"
"PCI 4","112470114563307","Energy 10 PCI"
"PCI 5","112470114563308","Energy 10 PCI"
"PCI 6","112470114563311","Energy 10 PCI"
"PCI 7","112470114563312","Energy 10 PCI"
"PCI 8","112470114563313","Energy 10 PCI"
"PCI 9","112470114563315","Energy 10 PCI"
"PCI 10","112470114563317","Energy 10 PCI"
"Electricity","112470114563335","Energy Type"
"Gas","112470114563344","Energy Type"
"Smart Grids","112470114563351","Energy Type"
"Austria_E","112470114563426","Energy countries"
"Belgium_E","112470114563430","Energy countries"
"Bulgaria_E","112470114563433","Energy countries"
"Bulgaria_E","112470114563437","Energy countries"
"Croatia_E","112470114563445","Energy countries"
"Cyprus_E","112470114563451","Energy countries"
"Czech Republic_E","112470114563454","Energy countries"
"Denmark_E","112470114563460","Energy countries"
"Estonia_E","112470114563464","Energy countries"
"Finland_E","112470114563467","Energy countries"
"France_E","112470114563476","Energy countries"
"Germany_E","112470114563496","Energy countries"
"Greece_E","112470114563497","Energy countries"
"Hungary_E","112470114563500","Energy countries"
"Ireland_E","112470114563503","Energy countries"
"Italy_E","112470114563504","Energy countries"
"Latvia_E","112470114563508","Energy countries"
"Lithuania_E","112470114563513","Energy countries"
"Luxembourg_E","112470114563517","Energy countries"
"Malta_E","112470114563519","Energy countries"
"Netherlands_E","112470114563527","Energy countries"
"Norway_E","112470114563529","Energy countries"
"Poland_E","112470114563534","Energy countries"
"Portugal_E","112470114563537","Energy countries"
"Romania_E","112470114563540","Energy countries"
"Slovakia_E","112470114563543","Energy countries"
"Slovenia_E","112470114563545","Energy countries"
"Spain_E","112470114563546","Energy countries"
"Sweden_E","112470114563549","Energy countries"
"Turkey_E","112470114563550","Energy countries"
"United Kingdom_E","112470114563553","Energy countries"
"Multi-country actions_E","112470114563557","Energy countries"
"Israel_E","112470114898979","Energy countries"
