GUID;TERMNAME;DESCRIPTION
1;ABI;Agricultural biotechnology
2;AER;Aerospace Technology
3;AGR;Agriculture
4;AUT;Automation
5;BIF;Biofuels
6;BIO;Biotechnology
7;BUS;Business aspects
8;CCC;Climate change & Carbon cycle research
9;CLC;Clean coal technologiesﾠ
10;CON;Construction Technology
11;COO;Coordination, Cooperation
12;EAR;Earth Sciences
13;ECO;Economic Aspects
14;EDU;Education, Training
15;ELM;Electronics, Microelectronics
16;EMP;Employment issuesﾠ
17;ENV;Environmental Protection
18;EST;Energy Storage, Energy Transport
19;ESV;Energy Saving
20;ETH;Research ethics
21;EVA;Evaluation
22;FFU;Fossil Fuels
23;FIS;Nuclear Fission
24;FOO;Food
25;FOR;Forecasting
26;FUS;Nuclear Fusion
27;HCS;Healthcare delivery/services
28;HFC;Hydrogen and fuel cells
29;IBI;Industrial biotech
30;ICT;Information and communication technology applicationsﾠ
31;IND;Industrial Manufacture
32;INF;Information, Media
33;IPR;Intellectual property rights
34;IPS;Information Processing, Information Systems
35;ITT;Innovation, Technology Transfer
36;LEG;Legislation, Regulations
37;LIF;Life Sciences
38;MAT;Materials Technology
39;MBI;Medical biotechnology
40;MEA;Measurement Methods
41;MED;Medicine, Health
42;MET;Meteorology
43;MST;Mathematics, Statistics
44;NET;Network technologiesﾠ
45;NNT;Nanotechnology and Nanosciences
46;OET;Other Energy Topics
47;PMM;Project management methodologies
48;POL;Policies
49;RAD;Radiation Protection
50;REF;Reference Materials
51;REG;Regional Development
52;ROB;Robotics
53;RSE;Renewable Sources of Energy
54;RWA;Radioactive Waste
55;SAF;Safety
56;SCI;Scientific Research
57;SDT;Sustainable developmentﾠ
58;SEA;Resources of the Sea, Fisheries
59;SEC;Security
60;SOC;Social Aspects
61;SPA;Space & satellite research
62;STA;Standards
63;TEC;Other Technology
64;TEL;Telecommunications
65;TRA;Transport
66;VAS;Veterinary and animal sciences
67;WAS;Waste Management
68;WAT;Water resources and management
